COG0012.mOTU.v2.0007171	ref_mOTU_v2_2573
COG0018.mOTU.v2.0004035	ref_mOTU_v2_3814
COG0172.mOTU.v2.0005502	ref_mOTU_v2_3784
COG0215.mOTU.v2.0006670	ref_mOTU_v2_1621
COG0552.mOTU.v2.0000855	ref_mOTU_v2_0844
COG0533.mOTU.v2.0000271	ref_mOTU_v2_0124
COG0215.mOTU.v2.0000863	ref_mOTU_v2_0498
COG0018.mOTU.v2.0006101	ref_mOTU_v2_1900
COG0495.mOTU.v2.0005434	ref_mOTU_v2_3314
COG0552.mOTU.v2.0007734	meta_mOTU_v2_6569
COG0541.mOTU.v2.0005369	ref_mOTU_v2_3918
COG0018.mOTU.v2.0004007	ref_mOTU_v2_4817
COG0533.mOTU.v2.0004264	ref_mOTU_v2_5004
COG0533.mOTU.v2.0009449	meta_mOTU_v2_7213
COG0012.mOTU.v2.0006139	ref_mOTU_v2_1681
COG0018.mOTU.v2.0000859	ref_mOTU_v2_0942
COG0495.mOTU.v2.0001289	ref_mOTU_v2_0531
COG0552.mOTU.v2.0008704	meta_mOTU_v2_5920
COG0541.mOTU.v2.0002029	meta_mOTU_v2_6946
COG0012.mOTU.v2.0001563	ref_mOTU_v2_0303
COG0215.mOTU.v2.0003352	meta_mOTU_v2_6216
COG0018.mOTU.v2.0004089	ref_mOTU_v2_5262
COG0012.mOTU.v2.0003982	ref_mOTU_v2_2777
COG0495.mOTU.v2.0000390	ref_mOTU_v2_0245
COG0215.mOTU.v2.0008239	meta_mOTU_v2_6313
COG0541.mOTU.v2.0005632	ref_mOTU_v2_3087
COG0016.mOTU.v2.0004902	ref_mOTU_v2_2627
COG0215.mOTU.v2.0008241	meta_mOTU_v2_5965
COG0495.mOTU.v2.0001051	ref_mOTU_v2_1490
COG0018.mOTU.v2.0004926	ref_mOTU_v2_3690
COG0012.mOTU.v2.0000384	ref_mOTU_v2_0065
COG0012.mOTU.v2.0001147	ref_mOTU_v2_0042
COG0541.mOTU.v2.0008417	meta_mOTU_v2_7385
COG0012.mOTU.v2.0005445	ref_mOTU_v2_4637
COG0215.mOTU.v2.0002393	meta_mOTU_v2_6054
COG0016.mOTU.v2.0002055	meta_mOTU_v2_7645
COG0016.mOTU.v2.0001767	ref_mOTU_v2_1572
COG0016.mOTU.v2.0001822	ref_mOTU_v2_1172
COG0016.mOTU.v2.0000774	ref_mOTU_v2_1524
COG0016.mOTU.v2.0009204	meta_mOTU_v2_7671
COG0533.mOTU.v2.0001446	ref_mOTU_v2_4210
COG0533.mOTU.v2.0004852	ref_mOTU_v2_3116
COG0525.mOTU.v2.0003560	ref_mOTU_v2_3828
COG0533.mOTU.v2.0003283	meta_mOTU_v2_6919
COG0016.mOTU.v2.0002056	meta_mOTU_v2_7573
COG0525.mOTU.v2.0003440	ref_mOTU_v2_3927
COG0012.mOTU.v2.0005849	ref_mOTU_v2_2483
COG0172.mOTU.v2.0000865	ref_mOTU_v2_1108
COG0215.mOTU.v2.0001798	meta_mOTU_v2_7076
COG0018.mOTU.v2.0003561	ref_mOTU_v2_4334
COG0215.mOTU.v2.0001127	ref_mOTU_v2_4504
COG0012.mOTU.v2.0005376	ref_mOTU_v2_1555
COG0016.mOTU.v2.0000254	ref_mOTU_v2_0754
COG0172.mOTU.v2.0004599	ref_mOTU_v2_1693
COG0016.mOTU.v2.0005690	ref_mOTU_v2_1502
COG0012.mOTU.v2.0004939	ref_mOTU_v2_2538
COG0533.mOTU.v2.0006108	ref_mOTU_v2_3011
COG0533.mOTU.v2.0008690	meta_mOTU_v2_6817
COG0533.mOTU.v2.0005781	ref_mOTU_v2_3402
COG0552.mOTU.v2.0003065	meta_mOTU_v2_5909
COG0495.mOTU.v2.0003911	ref_mOTU_v2_2681
COG0215.mOTU.v2.0000833	ref_mOTU_v2_0745
COG0172.mOTU.v2.0004449	ref_mOTU_v2_4237
COG0541.mOTU.v2.0000772	ref_mOTU_v2_0273
COG0172.mOTU.v2.0004981	ref_mOTU_v2_1581
COG0215.mOTU.v2.0005964	ref_mOTU_v2_2811
COG0495.mOTU.v2.0000997	ref_mOTU_v2_1063
COG0012.mOTU.v2.0000556	ref_mOTU_v2_0330
COG0552.mOTU.v2.0002035	meta_mOTU_v2_6476
COG0172.mOTU.v2.0002401	meta_mOTU_v2_5651
COG0533.mOTU.v2.0006428	ref_mOTU_v2_3525
COG0541.mOTU.v2.0005122	ref_mOTU_v2_4352
