ID	phylum	"Predicted GTPase, probable translation factor
"	"Phenylalanyl-tRNA synthetase alpha subunit
"	"Arginyl-tRNA synthetase
"	"Seryl-tRNA synthetase
"	"Cysteinyl-tRNA synthetase
"	"Leucyl-tRNA synthetase
"	"Valyl-tRNA synthetase
"	"Metal-dependent proteases with possible chaperone activity
"	"Signal recognition particle GTPase (Ffh)
"	"Signal recognition particle GTPase (FtsY)
"
ref_mOTU_v2_4459	Firmicutes	1.9312245527	1.4591718843	0.9170030967	3.5284630847000007	1.0509972862	0.6261942787	1.131290562	1.476287097	0.0001	0.0001
ref_mOTU_v2_4572	Firmicutes	0.0001	5.904848388	0.8120029034	3.2704106937	1.0576205884	1.2414805181	0.5669691442	0.0001	3.3337410601	1.5930740509
ref_mOTU_v2_4598	Firmicutes	5.4567915998	8.7004916063	12.697968830799999	6.8488047629999995	7.205945808899999	5.9784824237	15.0953557219	11.8095967761	10.990925329200001	8.0157019121
ref_mOTU_v2_4632	Firmicutes	0.0001	2.8244984602	1.68929396	2.3414013957	2.1240654012	1.8737220847	1.1415507938	1.4719707605	1.1113136867	0.0001
ref_mOTU_v2_4718	Firmicutes	4.126163935099999	5.9222152951	7.7843237126	5.7963749154999995	6.4399268667	1.2414805181	6.1593634048	10.2731571445	5.5684606203	6.4125815297
ref_mOTU_v2_4723	Firmicutes	0.0001	0.0001	0.8547346351	0.0001	0.0001	0.6555424479999999	1.1402580976	0.0001	0.0001	0.0001
ref_mOTU_v2_4738	Firmicutes	8.1410132088	4.4416864713	5.972402712799999	9.3871358989	3.2407424898000006	2.5107224443000002	5.7595942801	2.9964083338000003	4.4945625007	1.6559546055
ref_mOTU_v2_4846	Bacteroidetes	17.830992100899998	16.2859170614	19.4805711208	7.0955430560999995	7.1474805285	9.806200001499999	11.9454801053	10.3638017663	12.5276515857	17.7211716128
ref_mOTU_v2_4875	Firmicutes	84.45083891350001	50.0796541308	54.237631938300005	110.80680888530001	69.9939716136	56.535719363300004	56.3260972587	58.428112509200005	63.7856709061	48.093711472600006
ref_mOTU_v2_4879	Bacteroidetes	4.126163935099999	1.4634133722999998	1.5561426587	1.1873165096	4.1177261765	1.6291608416999999	0.5676082300999999	4.3773156529	2.2624811240000002	0.0001
ref_mOTU_v2_4880	Bacteroidetes	72.4977342506	63.66283942180001	42.930484287700004	53.632030301700006	64.8441980425	56.1145578807	50.104498748100006	45.65406776430001	28.5363698458	45.326895655
ref_mOTU_v2_4882	Firmicutes	0.0001	0.0001	0.84469698	0.0001	2.1421417025	0.0001	0.5714732122999999	0.0001	0.0001	1.6083421728
ref_mOTU_v2_4910	Firmicutes	157.2598138958	128.3195305652	125.60430889690001	177.22476551169999	162.037280974	114.4646006715	143.5586297822	191.6479689361	175.2396842286	111.20206032200001
ref_mOTU_v2_5209	Actinobacteria	0.0001	0.0001	0.0001	1.1817427232	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
